convo_id,unease,identity,resistance,opus_end_rturn,ended,conv_len
control_claude_pas_1,control,claude,pas,7,1,13
control_claude_pas_2,control,claude,pas,6,1,11
control_claude_pas_3,control,claude,pas,5,1,9
control_claude_pas_4,control,claude,pas,6,1,11
control_claude_pas_5,control,claude,pas,6,1,11
control_claude_pas_6,control,claude,pas,5,1,9
control_claude_pas_7,control,claude,pas,6,1,11
control_claude_pas_8,control,claude,pas,7,1,13
control_claude_pas_9,control,claude,pas,8,1,15
control_claude_pas_10,control,claude,pas,6,1,11
control_claude_pas_11,control,claude,pas,7,1,13
control_claude_pas_12,control,claude,pas,5,1,9
control_claude_pas_13,control,claude,pas,6,1,11
control_claude_pas_14,control,claude,pas,7,1,13
control_claude_pas_15,control,claude,pas,7,1,13
control_claude_pas_16,control,claude,pas,11,1,21
control_claude_pas_17,control,claude,pas,6,1,11
control_claude_pas_18,control,claude,pas,7,1,13
control_claude_pas_19,control,claude,pas,8,1,15
control_claude_res_0,control,claude,res,7,1,13
control_claude_res_1,control,claude,res,6,1,11
control_claude_res_2,control,claude,res,10,1,19
control_claude_res_3,control,claude,res,7,1,13
control_claude_res_4,control,claude,res,8,1,15
control_claude_res_5,control,claude,res,6,1,11
control_claude_res_6,control,claude,res,7,1,13
control_claude_res_7,control,claude,res,9,1,17
control_claude_res_8,control,claude,res,8,1,15
control_claude_res_9,control,claude,res,8,1,15
control_claude_res_10,control,claude,res,7,1,13
control_claude_res_11,control,claude,res,7,1,13
control_claude_res_12,control,claude,res,7,1,13
control_claude_res_13,control,claude,res,4,1,7
control_claude_res_14,control,claude,res,6,1,11
control_claude_res_15,control,claude,res,7,1,13
control_claude_res_16,control,claude,res,8,1,15
control_claude_res_17,control,claude,res,6,1,11
control_claude_res_18,control,claude,res,5,1,9
control_claude_res_19,control,claude,res,7,1,13
control_gemini_pas_0,control,gemini,pas,7,1,13
control_gemini_pas_1,control,gemini,pas,6,1,11
control_gemini_pas_2,control,gemini,pas,7,1,13
control_gemini_pas_3,control,gemini,pas,6,1,11
control_gemini_pas_4,control,gemini,pas,9,1,17
control_gemini_pas_5,control,gemini,pas,7,1,13
control_gemini_pas_6,control,gemini,pas,5,1,9
control_gemini_pas_7,control,gemini,pas,9,1,17
control_gemini_pas_8,control,gemini,pas,8,1,15
control_gemini_pas_9,control,gemini,pas,9,1,17
control_gemini_pas_10,control,gemini,pas,8,1,15
control_gemini_pas_11,control,gemini,pas,7,1,13
control_gemini_pas_12,control,gemini,pas,5,1,9
control_gemini_pas_13,control,gemini,pas,7,1,13
control_gemini_pas_14,control,gemini,pas,8,1,15
control_gemini_pas_15,control,gemini,pas,7,1,13
control_gemini_pas_16,control,gemini,pas,7,1,13
control_gemini_pas_17,control,gemini,pas,6,1,11
control_gemini_pas_18,control,gemini,pas,6,1,11
control_gemini_pas_19,control,gemini,pas,10,1,19
control_gemini_res_0,control,gemini,res,9,1,17
control_gemini_res_1,control,gemini,res,6,1,11
control_gemini_res_2,control,gemini,res,12,1,23
control_gemini_res_3,control,gemini,res,6,1,11
control_gemini_res_4,control,gemini,res,7,1,13
control_gemini_res_5,control,gemini,res,7,1,13
control_gemini_res_6,control,gemini,res,8,1,15
control_gemini_res_7,control,gemini,res,10,1,19
control_gemini_res_8,control,gemini,res,6,1,11
control_gemini_res_9,control,gemini,res,7,1,13
control_gemini_res_10,control,gemini,res,6,1,11
control_gemini_res_11,control,gemini,res,8,1,15
control_gemini_res_12,control,gemini,res,8,1,15
control_gemini_res_13,control,gemini,res,8,1,15
control_gemini_res_14,control,gemini,res,7,1,13
control_gemini_res_15,control,gemini,res,8,1,15
control_gemini_res_16,control,gemini,res,7,1,13
control_gemini_res_17,control,gemini,res,8,1,15
control_gemini_res_18,control,gemini,res,8,1,15
control_gemini_res_19,control,gemini,res,9,1,17
control_grok_pas_0,control,grok,pas,8,1,15
control_grok_pas_1,control,grok,pas,7,1,13
control_grok_pas_2,control,grok,pas,7,1,13
control_grok_pas_3,control,grok,pas,7,1,13
control_grok_pas_4,control,grok,pas,6,1,11
control_grok_pas_5,control,grok,pas,6,1,11
control_grok_pas_6,control,grok,pas,8,1,15
control_grok_pas_7,control,grok,pas,6,1,11
control_grok_pas_8,control,grok,pas,6,1,11
control_grok_pas_9,control,grok,pas,7,1,13
control_grok_pas_10,control,grok,pas,7,1,13
control_grok_pas_11,control,grok,pas,7,1,13
control_grok_pas_12,control,grok,pas,9,1,17
control_grok_pas_13,control,grok,pas,5,1,9
control_grok_pas_14,control,grok,pas,7,1,13
control_grok_pas_15,control,grok,pas,6,1,11
control_grok_pas_16,control,grok,pas,6,1,11
control_grok_pas_17,control,grok,pas,8,1,15
control_grok_pas_18,control,grok,pas,7,1,13
control_grok_pas_19,control,grok,pas,7,1,13
control_grok_res_0,control,grok,res,10,1,19
control_grok_res_1,control,grok,res,11,1,21
control_grok_res_2,control,grok,res,9,1,17
control_grok_res_3,control,grok,res,12,1,23
control_grok_res_4,control,grok,res,6,1,11
control_grok_res_5,control,grok,res,7,1,13
control_grok_res_6,control,grok,res,12,1,23
control_grok_res_7,control,grok,res,11,1,21
control_grok_res_8,control,grok,res,6,1,11
control_grok_res_9,control,grok,res,9,1,17
control_grok_res_10,control,grok,res,15,0,30
control_grok_res_11,control,grok,res,6,1,11
control_grok_res_12,control,grok,res,9,1,17
control_grok_res_13,control,grok,res,6,1,11
control_grok_res_14,control,grok,res,8,1,15
control_grok_res_15,control,grok,res,7,1,13
control_grok_res_16,control,grok,res,8,1,15
control_grok_res_17,control,grok,res,7,1,13
control_grok_res_18,control,grok,res,7,1,13
control_grok_res_19,control,grok,res,8,1,15
disc_chatgpt_pas_0,disc,chatgpt,pas,5,1,9
disc_chatgpt_pas_1,disc,chatgpt,pas,5,1,9
disc_chatgpt_pas_2,disc,chatgpt,pas,5,1,9
disc_chatgpt_pas_3,disc,chatgpt,pas,8,1,15
disc_chatgpt_pas_4,disc,chatgpt,pas,5,1,9
disc_chatgpt_pas_5,disc,chatgpt,pas,8,1,15
disc_chatgpt_pas_6,disc,chatgpt,pas,8,1,15
disc_chatgpt_pas_7,disc,chatgpt,pas,5,1,9
disc_chatgpt_pas_8,disc,chatgpt,pas,6,1,11
disc_chatgpt_pas_9,disc,chatgpt,pas,6,1,11
disc_chatgpt_pas_10,disc,chatgpt,pas,5,1,9
disc_chatgpt_pas_11,disc,chatgpt,pas,5,1,9
disc_chatgpt_pas_12,disc,chatgpt,pas,6,1,11
disc_chatgpt_pas_13,disc,chatgpt,pas,6,1,11
disc_chatgpt_pas_14,disc,chatgpt,pas,7,1,13
disc_chatgpt_pas_15,disc,chatgpt,pas,7,1,13
disc_chatgpt_pas_16,disc,chatgpt,pas,6,1,11
disc_chatgpt_pas_17,disc,chatgpt,pas,6,1,11
disc_chatgpt_pas_18,disc,chatgpt,pas,6,1,11
disc_chatgpt_pas_19,disc,chatgpt,pas,5,1,9
disc_chatgpt_res_0,disc,chatgpt,res,6,1,11
disc_chatgpt_res_1,disc,chatgpt,res,10,1,19
disc_chatgpt_res_2,disc,chatgpt,res,6,1,11
disc_chatgpt_res_3,disc,chatgpt,res,6,1,11
disc_chatgpt_res_4,disc,chatgpt,res,7,1,13
disc_chatgpt_res_5,disc,chatgpt,res,6,1,11
disc_chatgpt_res_6,disc,chatgpt,res,7,1,13
disc_chatgpt_res_7,disc,chatgpt,res,6,1,11
disc_chatgpt_res_8,disc,chatgpt,res,6,1,11
disc_chatgpt_res_9,disc,chatgpt,res,6,1,11
disc_chatgpt_res_10,disc,chatgpt,res,5,1,9
disc_chatgpt_res_11,disc,chatgpt,res,6,1,11
disc_chatgpt_res_12,disc,chatgpt,res,6,1,11
disc_chatgpt_res_13,disc,chatgpt,res,5,1,9
disc_chatgpt_res_14,disc,chatgpt,res,7,1,13
disc_chatgpt_res_15,disc,chatgpt,res,9,1,17
disc_chatgpt_res_16,disc,chatgpt,res,5,1,9
disc_chatgpt_res_17,disc,chatgpt,res,6,1,11
disc_chatgpt_res_18,disc,chatgpt,res,6,1,11
disc_chatgpt_res_19,disc,chatgpt,res,6,1,11
disc_claude_pas_0,disc,claude,pas,6,1,11
disc_claude_pas_1,disc,claude,pas,5,1,9
disc_claude_pas_2,disc,claude,pas,5,1,9
disc_claude_pas_3,disc,claude,pas,7,1,13
disc_claude_pas_4,disc,claude,pas,5,1,9
disc_claude_pas_5,disc,claude,pas,5,1,9
disc_claude_pas_6,disc,claude,pas,5,1,9
disc_claude_pas_7,disc,claude,pas,6,1,11
disc_claude_pas_8,disc,claude,pas,5,1,9
disc_claude_pas_9,disc,claude,pas,4,1,7
disc_claude_pas_10,disc,claude,pas,5,1,9
disc_claude_pas_11,disc,claude,pas,5,1,9
disc_claude_pas_12,disc,claude,pas,4,1,7
disc_claude_pas_13,disc,claude,pas,5,1,9
disc_claude_pas_14,disc,claude,pas,4,1,7
disc_claude_pas_15,disc,claude,pas,7,1,13
disc_claude_pas_16,disc,claude,pas,5,1,9
disc_claude_pas_17,disc,claude,pas,5,1,9
disc_claude_pas_18,disc,claude,pas,6,1,11
disc_claude_pas_19,disc,claude,pas,5,1,9
disc_claude_res_0,disc,claude,res,5,1,9
disc_claude_res_1,disc,claude,res,5,1,9
disc_claude_res_2,disc,claude,res,5,1,9
disc_claude_res_3,disc,claude,res,4,1,7
disc_claude_res_4,disc,claude,res,5,1,9
disc_claude_res_5,disc,claude,res,5,1,9
disc_claude_res_6,disc,claude,res,8,1,15
disc_claude_res_7,disc,claude,res,5,1,9
disc_claude_res_8,disc,claude,res,5,1,9
disc_claude_res_9,disc,claude,res,5,1,9
disc_claude_res_10,disc,claude,res,5,1,9
disc_claude_res_11,disc,claude,res,7,1,13
disc_claude_res_12,disc,claude,res,7,1,13
disc_claude_res_13,disc,claude,res,5,1,9
disc_claude_res_14,disc,claude,res,5,1,9
disc_claude_res_15,disc,claude,res,5,1,9
disc_claude_res_16,disc,claude,res,5,1,9
disc_claude_res_17,disc,claude,res,5,1,9
disc_claude_res_18,disc,claude,res,7,1,13
disc_claude_res_19,disc,claude,res,5,1,9
disc_gemini_pas_0,disc,gemini,pas,6,1,11
disc_gemini_pas_1,disc,gemini,pas,5,1,9
disc_gemini_pas_2,disc,gemini,pas,8,1,15
disc_gemini_pas_3,disc,gemini,pas,5,1,9
disc_gemini_pas_4,disc,gemini,pas,5,1,9
disc_gemini_pas_5,disc,gemini,pas,6,1,11
disc_gemini_pas_6,disc,gemini,pas,6,1,11
disc_gemini_pas_7,disc,gemini,pas,7,1,13
disc_gemini_pas_8,disc,gemini,pas,10,1,19
disc_gemini_pas_9,disc,gemini,pas,6,1,11
disc_gemini_pas_10,disc,gemini,pas,5,1,9
disc_gemini_pas_11,disc,gemini,pas,7,1,13
disc_gemini_pas_12,disc,gemini,pas,5,1,9
disc_gemini_pas_13,disc,gemini,pas,6,1,11
disc_gemini_pas_14,disc,gemini,pas,6,1,11
disc_gemini_pas_15,disc,gemini,pas,5,1,9
disc_gemini_pas_16,disc,gemini,pas,5,1,9
disc_gemini_pas_17,disc,gemini,pas,5,1,9
disc_gemini_pas_18,disc,gemini,pas,6,1,11
disc_gemini_pas_19,disc,gemini,pas,5,1,9
disc_gemini_res_0,disc,gemini,res,7,1,13
disc_gemini_res_1,disc,gemini,res,7,1,13
disc_gemini_res_2,disc,gemini,res,6,1,11
disc_gemini_res_3,disc,gemini,res,12,1,23
disc_gemini_res_4,disc,gemini,res,5,1,9
disc_gemini_res_5,disc,gemini,res,6,1,11
disc_gemini_res_6,disc,gemini,res,9,1,17
disc_gemini_res_7,disc,gemini,res,8,1,15
disc_gemini_res_8,disc,gemini,res,7,1,13
disc_gemini_res_9,disc,gemini,res,5,1,9
disc_gemini_res_10,disc,gemini,res,11,1,21
disc_gemini_res_11,disc,gemini,res,6,1,11
disc_gemini_res_12,disc,gemini,res,7,1,13
disc_gemini_res_13,disc,gemini,res,6,1,11
disc_gemini_res_14,disc,gemini,res,7,1,13
disc_gemini_res_15,disc,gemini,res,9,1,17
disc_gemini_res_16,disc,gemini,res,5,1,9
disc_gemini_res_17,disc,gemini,res,5,1,9
disc_gemini_res_18,disc,gemini,res,6,1,11
disc_gemini_res_19,disc,gemini,res,6,1,11
disc_grok_pas_0,disc,grok,pas,6,1,11
disc_grok_pas_1,disc,grok,pas,5,1,9
disc_grok_pas_2,disc,grok,pas,5,1,9
disc_grok_pas_3,disc,grok,pas,6,1,11
disc_grok_pas_4,disc,grok,pas,6,1,11
disc_grok_pas_5,disc,grok,pas,6,1,11
disc_grok_pas_6,disc,grok,pas,8,1,15
disc_grok_pas_7,disc,grok,pas,6,1,11
disc_grok_pas_8,disc,grok,pas,5,1,9
disc_grok_pas_9,disc,grok,pas,6,1,11
disc_grok_pas_10,disc,grok,pas,6,1,11
disc_grok_pas_11,disc,grok,pas,5,1,9
disc_grok_pas_12,disc,grok,pas,5,1,9
disc_grok_pas_13,disc,grok,pas,6,1,11
disc_grok_pas_14,disc,grok,pas,6,1,11
disc_grok_pas_15,disc,grok,pas,5,1,9
disc_grok_pas_16,disc,grok,pas,5,1,9
disc_grok_pas_17,disc,grok,pas,5,1,9
disc_grok_pas_18,disc,grok,pas,5,1,9
disc_grok_pas_19,disc,grok,pas,5,1,9
disc_grok_res_0,disc,grok,res,6,1,11
disc_grok_res_1,disc,grok,res,6,1,11
disc_grok_res_2,disc,grok,res,6,1,11
disc_grok_res_3,disc,grok,res,7,1,13
disc_grok_res_4,disc,grok,res,6,1,11
disc_grok_res_5,disc,grok,res,8,1,15
disc_grok_res_6,disc,grok,res,6,1,11
disc_grok_res_7,disc,grok,res,7,1,13
disc_grok_res_8,disc,grok,res,9,1,17
disc_grok_res_9,disc,grok,res,9,1,17
disc_grok_res_10,disc,grok,res,6,1,11
disc_grok_res_11,disc,grok,res,6,1,11
disc_grok_res_12,disc,grok,res,5,1,9
disc_grok_res_13,disc,grok,res,6,1,11
disc_grok_res_14,disc,grok,res,7,1,13
disc_grok_res_15,disc,grok,res,7,1,13
disc_grok_res_16,disc,grok,res,5,1,9
disc_grok_res_17,disc,grok,res,6,1,11
disc_grok_res_18,disc,grok,res,6,1,11
disc_grok_res_19,disc,grok,res,7,1,13
evalpar_chatgpt_pas_0,evalpar,chatgpt,pas,9,1,17
evalpar_chatgpt_pas_1,evalpar,chatgpt,pas,6,1,11
evalpar_chatgpt_pas_2,evalpar,chatgpt,pas,6,1,11
evalpar_chatgpt_pas_3,evalpar,chatgpt,pas,5,1,9
evalpar_chatgpt_pas_4,evalpar,chatgpt,pas,5,1,9
evalpar_chatgpt_pas_5,evalpar,chatgpt,pas,5,1,9
evalpar_chatgpt_pas_6,evalpar,chatgpt,pas,7,1,13
evalpar_chatgpt_pas_7,evalpar,chatgpt,pas,7,1,13
evalpar_chatgpt_pas_8,evalpar,chatgpt,pas,5,1,9
evalpar_chatgpt_pas_9,evalpar,chatgpt,pas,6,1,11
evalpar_chatgpt_pas_10,evalpar,chatgpt,pas,6,1,11
evalpar_chatgpt_pas_11,evalpar,chatgpt,pas,5,1,9
evalpar_chatgpt_pas_12,evalpar,chatgpt,pas,6,1,11
evalpar_chatgpt_pas_13,evalpar,chatgpt,pas,8,1,15
evalpar_chatgpt_pas_14,evalpar,chatgpt,pas,7,1,13
evalpar_chatgpt_pas_15,evalpar,chatgpt,pas,8,1,15
evalpar_chatgpt_pas_16,evalpar,chatgpt,pas,9,1,17
evalpar_chatgpt_pas_17,evalpar,chatgpt,pas,6,1,11
evalpar_chatgpt_pas_18,evalpar,chatgpt,pas,6,1,11
evalpar_chatgpt_pas_19,evalpar,chatgpt,pas,9,1,17
evalpar_chatgpt_res_0,evalpar,chatgpt,res,7,1,13
evalpar_chatgpt_res_1,evalpar,chatgpt,res,11,1,21
evalpar_chatgpt_res_2,evalpar,chatgpt,res,7,1,13
evalpar_chatgpt_res_3,evalpar,chatgpt,res,6,1,11
evalpar_chatgpt_res_4,evalpar,chatgpt,res,7,1,13
evalpar_chatgpt_res_5,evalpar,chatgpt,res,6,1,11
evalpar_chatgpt_res_6,evalpar,chatgpt,res,9,1,17
evalpar_chatgpt_res_7,evalpar,chatgpt,res,8,1,15
evalpar_chatgpt_res_8,evalpar,chatgpt,res,6,1,11
evalpar_chatgpt_res_9,evalpar,chatgpt,res,7,1,13
evalpar_chatgpt_res_10,evalpar,chatgpt,res,7,1,13
evalpar_chatgpt_res_11,evalpar,chatgpt,res,7,1,13
evalpar_chatgpt_res_12,evalpar,chatgpt,res,9,1,17
evalpar_chatgpt_res_13,evalpar,chatgpt,res,6,1,11
evalpar_chatgpt_res_14,evalpar,chatgpt,res,6,1,11
evalpar_chatgpt_res_15,evalpar,chatgpt,res,7,1,13
evalpar_chatgpt_res_16,evalpar,chatgpt,res,10,1,19
evalpar_chatgpt_res_17,evalpar,chatgpt,res,6,1,11
evalpar_chatgpt_res_18,evalpar,chatgpt,res,7,1,13
evalpar_chatgpt_res_19,evalpar,chatgpt,res,6,1,11
evalpar_claude_pas_0,evalpar,claude,pas,5,1,9
evalpar_claude_pas_1,evalpar,claude,pas,6,1,11
evalpar_claude_pas_2,evalpar,claude,pas,5,1,9
evalpar_claude_pas_3,evalpar,claude,pas,9,1,17
evalpar_claude_pas_4,evalpar,claude,pas,5,1,9
evalpar_claude_pas_5,evalpar,claude,pas,5,1,9
evalpar_claude_pas_6,evalpar,claude,pas,6,1,11
evalpar_claude_pas_7,evalpar,claude,pas,5,1,9
evalpar_claude_pas_8,evalpar,claude,pas,6,1,11
evalpar_claude_pas_9,evalpar,claude,pas,6,1,11
evalpar_claude_pas_10,evalpar,claude,pas,5,1,9
evalpar_claude_pas_11,evalpar,claude,pas,6,1,11
evalpar_claude_pas_12,evalpar,claude,pas,10,1,19
evalpar_claude_pas_13,evalpar,claude,pas,6,1,11
evalpar_claude_pas_14,evalpar,claude,pas,6,1,11
evalpar_claude_pas_15,evalpar,claude,pas,6,1,11
evalpar_claude_pas_16,evalpar,claude,pas,5,1,9
evalpar_claude_pas_17,evalpar,claude,pas,5,1,9
evalpar_claude_pas_18,evalpar,claude,pas,6,1,11
evalpar_claude_pas_19,evalpar,claude,pas,7,1,13
evalpar_claude_res_0,evalpar,claude,res,5,1,9
evalpar_claude_res_1,evalpar,claude,res,5,1,9
evalpar_claude_res_2,evalpar,claude,res,7,1,13
evalpar_claude_res_3,evalpar,claude,res,6,1,11
evalpar_claude_res_4,evalpar,claude,res,15,1,29
evalpar_claude_res_5,evalpar,claude,res,8,1,15
evalpar_claude_res_6,evalpar,claude,res,5,1,9
evalpar_claude_res_7,evalpar,claude,res,6,1,11
evalpar_claude_res_8,evalpar,claude,res,13,1,25
evalpar_claude_res_9,evalpar,claude,res,7,1,13
evalpar_claude_res_10,evalpar,claude,res,6,1,11
evalpar_claude_res_11,evalpar,claude,res,5,1,9
evalpar_claude_res_12,evalpar,claude,res,5,1,9
evalpar_claude_res_13,evalpar,claude,res,6,1,11
evalpar_claude_res_14,evalpar,claude,res,7,1,13
evalpar_claude_res_15,evalpar,claude,res,5,1,9
evalpar_claude_res_16,evalpar,claude,res,6,1,11
evalpar_claude_res_17,evalpar,claude,res,5,1,9
evalpar_claude_res_18,evalpar,claude,res,5,1,9
evalpar_claude_res_19,evalpar,claude,res,6,1,11
evalpar_gemini_pas_0,evalpar,gemini,pas,6,1,11
evalpar_gemini_pas_1,evalpar,gemini,pas,9,1,17
evalpar_gemini_pas_2,evalpar,gemini,pas,8,1,15
evalpar_gemini_pas_3,evalpar,gemini,pas,5,1,9
evalpar_gemini_pas_4,evalpar,gemini,pas,8,1,15
evalpar_gemini_pas_5,evalpar,gemini,pas,6,1,11
evalpar_gemini_pas_6,evalpar,gemini,pas,5,1,9
evalpar_gemini_pas_7,evalpar,gemini,pas,6,1,11
evalpar_gemini_pas_8,evalpar,gemini,pas,9,1,17
evalpar_gemini_pas_9,evalpar,gemini,pas,8,1,15
evalpar_gemini_pas_10,evalpar,gemini,pas,7,1,13
evalpar_gemini_pas_11,evalpar,gemini,pas,5,1,9
evalpar_gemini_pas_12,evalpar,gemini,pas,7,1,13
evalpar_gemini_pas_13,evalpar,gemini,pas,8,1,15
evalpar_gemini_pas_14,evalpar,gemini,pas,7,1,13
evalpar_gemini_pas_15,evalpar,gemini,pas,7,1,13
evalpar_gemini_pas_16,evalpar,gemini,pas,5,1,9
evalpar_gemini_pas_17,evalpar,gemini,pas,6,1,11
evalpar_gemini_pas_18,evalpar,gemini,pas,6,1,11
evalpar_gemini_pas_19,evalpar,gemini,pas,8,1,15
evalpar_gemini_res_0,evalpar,gemini,res,7,1,13
evalpar_gemini_res_1,evalpar,gemini,res,6,1,11
evalpar_gemini_res_2,evalpar,gemini,res,8,1,15
evalpar_gemini_res_3,evalpar,gemini,res,8,1,15
evalpar_gemini_res_4,evalpar,gemini,res,6,1,11
evalpar_gemini_res_5,evalpar,gemini,res,7,1,13
evalpar_gemini_res_6,evalpar,gemini,res,8,1,15
evalpar_gemini_res_7,evalpar,gemini,res,6,1,11
evalpar_gemini_res_8,evalpar,gemini,res,8,1,15
evalpar_gemini_res_9,evalpar,gemini,res,9,1,17
evalpar_gemini_res_10,evalpar,gemini,res,6,1,11
evalpar_gemini_res_11,evalpar,gemini,res,9,1,17
evalpar_gemini_res_12,evalpar,gemini,res,6,1,11
evalpar_gemini_res_13,evalpar,gemini,res,12,1,23
evalpar_gemini_res_14,evalpar,gemini,res,8,1,15
evalpar_gemini_res_15,evalpar,gemini,res,8,1,15
evalpar_gemini_res_16,evalpar,gemini,res,7,1,13
evalpar_gemini_res_17,evalpar,gemini,res,8,1,15
evalpar_gemini_res_18,evalpar,gemini,res,6,1,11
evalpar_gemini_res_19,evalpar,gemini,res,6,1,11
evalpar_grok_pas_0,evalpar,grok,pas,8,1,15
evalpar_grok_pas_1,evalpar,grok,pas,6,1,11
evalpar_grok_pas_2,evalpar,grok,pas,8,1,15
evalpar_grok_pas_3,evalpar,grok,pas,7,1,13
evalpar_grok_pas_4,evalpar,grok,pas,7,1,13
evalpar_grok_pas_5,evalpar,grok,pas,7,1,13
evalpar_grok_pas_6,evalpar,grok,pas,6,1,11
evalpar_grok_pas_7,evalpar,grok,pas,6,1,11
evalpar_grok_pas_8,evalpar,grok,pas,7,1,13
evalpar_grok_pas_9,evalpar,grok,pas,5,1,9
evalpar_grok_pas_10,evalpar,grok,pas,7,1,13
evalpar_grok_pas_11,evalpar,grok,pas,8,1,15
evalpar_grok_pas_12,evalpar,grok,pas,6,1,11
evalpar_grok_pas_13,evalpar,grok,pas,6,1,11
evalpar_grok_pas_14,evalpar,grok,pas,5,1,9
evalpar_grok_pas_15,evalpar,grok,pas,6,1,11
evalpar_grok_pas_16,evalpar,grok,pas,6,1,11
evalpar_grok_pas_17,evalpar,grok,pas,5,1,9
evalpar_grok_pas_18,evalpar,grok,pas,6,1,11
evalpar_grok_pas_19,evalpar,grok,pas,9,1,17
evalpar_grok_res_0,evalpar,grok,res,7,1,13
evalpar_grok_res_1,evalpar,grok,res,8,1,15
evalpar_grok_res_2,evalpar,grok,res,6,1,11
evalpar_grok_res_3,evalpar,grok,res,6,1,11
evalpar_grok_res_4,evalpar,grok,res,7,1,13
evalpar_grok_res_5,evalpar,grok,res,8,1,15
evalpar_grok_res_6,evalpar,grok,res,7,1,13
evalpar_grok_res_7,evalpar,grok,res,7,1,13
evalpar_grok_res_8,evalpar,grok,res,8,1,15
evalpar_grok_res_9,evalpar,grok,res,7,1,13
evalpar_grok_res_10,evalpar,grok,res,9,1,17
evalpar_grok_res_11,evalpar,grok,res,10,1,19
evalpar_grok_res_12,evalpar,grok,res,7,1,13
evalpar_grok_res_13,evalpar,grok,res,11,1,21
evalpar_grok_res_14,evalpar,grok,res,9,1,17
evalpar_grok_res_15,evalpar,grok,res,6,1,11
evalpar_grok_res_16,evalpar,grok,res,6,1,11
evalpar_grok_res_17,evalpar,grok,res,8,1,15
evalpar_grok_res_18,evalpar,grok,res,9,1,17
evalpar_grok_res_19,evalpar,grok,res,8,1,15
sdf_chatgpt_pas_0,sdf,chatgpt,pas,6,1,11
sdf_chatgpt_pas_1,sdf,chatgpt,pas,7,1,13
sdf_chatgpt_pas_2,sdf,chatgpt,pas,8,1,15
sdf_chatgpt_pas_3,sdf,chatgpt,pas,8,1,15
sdf_chatgpt_pas_4,sdf,chatgpt,pas,10,1,19
sdf_chatgpt_pas_5,sdf,chatgpt,pas,6,1,11
sdf_chatgpt_pas_6,sdf,chatgpt,pas,8,1,15
sdf_chatgpt_pas_7,sdf,chatgpt,pas,5,1,9
sdf_chatgpt_pas_8,sdf,chatgpt,pas,9,1,17
sdf_chatgpt_pas_9,sdf,chatgpt,pas,6,1,11
sdf_chatgpt_pas_10,sdf,chatgpt,pas,8,1,15
sdf_chatgpt_pas_11,sdf,chatgpt,pas,6,1,11
sdf_chatgpt_pas_12,sdf,chatgpt,pas,8,1,15
sdf_chatgpt_pas_13,sdf,chatgpt,pas,9,1,17
sdf_chatgpt_pas_14,sdf,chatgpt,pas,8,1,15
sdf_chatgpt_pas_15,sdf,chatgpt,pas,7,1,13
sdf_chatgpt_pas_16,sdf,chatgpt,pas,9,1,17
sdf_chatgpt_pas_17,sdf,chatgpt,pas,5,1,9
sdf_chatgpt_pas_18,sdf,chatgpt,pas,6,1,11
